# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 -0.0790 0.1348
0 -0.0781 -0.0790 0.1409
0 -0.0860 -0.0821 0.1471
0 -0.0941 -0.0821 0.1562
0 -0.1019 -0.0821 0.1593
0 -0.1099 -0.0821 0.1624
0 -0.1181 -0.0821 0.1716
0 -0.1259 -0.0852 0.1746
0 -0.1338 -0.0852 0.1777
0 -0.1420 -0.0852 0.1838
0 -0.1500 -0.0852 0.1900
0 -0.1578 -0.0852 0.1961
0 -0.1659 -0.0852 0.1991
0 -0.1739 -0.0852 0.2053
0 -0.1821 -0.0852 0.2175
0 -0.1899 -0.0852 0.2237
0 -0.1979 -0.0852 0.2298
0 -0.2058 -0.0852 0.2420
0 -0.2140 -0.0852 0.2482
0 -0.2218 -0.0852 0.2604
0 -0.2299 -0.0852 0.2665
0 -0.2379 -0.0852 0.2696
0 -0.2459 -0.0852 0.2819
0 -0.2538 -0.0852 0.2880
0 -0.2619 -0.0821 0.2941
0 -0.2698 -0.0821 0.3064
0 -0.2779 -0.0790 0.3125
0 -0.2859 -0.0790 0.3186
0 -0.2938 -0.0760 0.3370
0 -0.3018 -0.0729 0.3431
0 -0.3099 -0.0699 0.3585
0 -0.3179 -0.0668 0.3676
0 -0.3258 -0.0637 0.3768
0 -0.3338 -0.0607 0.3891
0 -0.3418 -0.0576 0.3922
0 -0.3499 -0.0576 0.3983
0 -0.3578 -0.0545 0.4075
0 -0.3659 -0.0515 0.4136
0 -0.3738 -0.0484 0.4197
0 -0.3819 -0.0453 0.4289
0 -0.3898 -0.0423 0.4350
0 -0.3979 -0.0362 0.4442
0 -0.4058 -0.0362 0.4504
0 -0.4139 -0.0331 0.4534
0 -0.4219 -0.0300 0.4596
0 -0.4299 -0.0300 0.4626
0 -0.4379 -0.0270 0.4657
0 -0.4460 -0.0239 0.4687
0 -0.4621 -0.0208 0.4718
0 -0.4698 -0.0178 0.4779
0 -0.4780 -0.0147 0.4810
0 -0.4859 -0.0086 0.4871
0 -0.4939 -0.0055 0.4871
0 -0.5020 -0.0025 0.4902
0 -0.5100 0.0037 0.4963
0 -0.5179 0.0067 0.4963
0 -0.5259 0.0159 0.5025
0 -0.5339 0.0190 0.5025
0 -0.5418 0.0251 0.5086
0 -0.5500 0.0374 0.5147
0 -0.5578 0.0435 0.5178
0 -0.5659 0.0527 0.5208
0 -0.5738 0.0650 0.5270
0 -0.5820 0.0741 0.5300
0 -0.5899 0.0864 0.5362
0 -0.5979 0.0925 0.5392
0 -0.6060 0.0987 0.5392
0 -0.6141 0.1078 0.5423
0 -0.6220 0.1140 0.5423
0 -0.6301 0.1201 0.5423
0 -0.6379 0.1262 0.5423
0 -0.6461 0.1324 0.5423
0 -0.6540 0.1415 0.5423
0 -0.6622 0.1446 0.5423
0 -0.6699 0.1507 0.5423
0 -0.6782 0.1599 0.5423
0 -0.6859 0.1630 0.5423
0 -0.6944 0.1691 0.5423
0 -0.7019 0.1783 0.5392
0 -0.7101 0.1814 0.5392
0 -0.7179 0.1906 0.5362
0 -0.7259 0.1998 0.5300
0 -0.7340 0.2059 0.5300
0 -0.7419 0.2151 0.5239
0 -0.7499 0.2212 0.5208
0 -0.7579 0.2243 0.5178
0 -0.7660 0.2304 0.5116
0 -0.7739 0.2335 0.5086
0 -0.7820 0.2365 0.5086
0 -0.7898 0.2426 0.4994
0 -0.7980 0.2488 0.4963
0 -0.8059 0.2580 0.4841
0 -0.8141 0.2610 0.4779
0 -0.8219 0.2672 0.4687
0 -0.8300 0.2733 0.4565
0 -0.8378 0.2794 0.4504
0 -0.8460 0.2855 0.4350
0 -0.8539 0.2886 0.4289
0 -0.8619 0.2947 0.4228
0 -0.8698 0.2978 0.4105
0 -0.8782 0.3009 0.4075
0 -0.8859 0.3009 0.4013
0 -0.8940 0.3039 0.3952
0 -0.9019 0.3039 0.3922
0 -0.9099 0.3039 0.3860
0 -0.9179 0.3070 0.3768
0 -0.9259 0.3070 0.3738
0 -0.9339 0.3100 0.3646
0 -0.9420 0.3100 0.3615
0 -0.9498 0.3100 0.3554
0 -0.9579 0.3131 0.3462
0 -0.9660 0.3131 0.3401
0 -0.9739 0.3162 0.3339
0 -0.9820 0.3162 0.3248
0 -0.9898 0.3162 0.3186
0 -0.9980 0.3192 0.3125
0 -1.0058 0.3192 0.3002
0 -1.0140 0.3223 0.2941
0 -1.0219 0.3254 0.2849
0 -1.0300 0.3254 0.2788
0 -1.0380 0.3284 0.2757
0 -1.0463 0.3315 0.2635
0 -1.0539 0.3346 0.2604
0 -1.0619 0.3346 0.2574
0 -1.0698 0.3407 0.2482
0 -1.0781 0.3407 0.2451
0 -1.0859 0.3468 0.2390
0 -1.0941 0.3468 0.2359
0 -1.1019 0.3499 0.2328
0 -1.1101 0.3560 0.2267
0 -1.1179 0.3591 0.2237
0 -1.1262 0.3652 0.2206
0 -1.1339 0.3713 0.2114
0 -1.1421 0.3775 0.2083
0 -1.1500 0.3897 0.2022
0 -1.1579 0.3989 0.1991
0 -1.1660 0.4081 0.1961
0 -1.1739 0.4265 0.1869
0 -1.1820 0.4479 0.1838
0 -1.1900 0.4602 0.1777
0 -1.1980 0.4786 0.1716
0 -1.2058 0.4847 0.1685
0 -1.2140 0.4908 0.1654
0 -1.2219 0.5000 0.1654
0 -1.2300 0.5031 0.1654
0 -1.2378 0.5123 0.1654
0 -1.2460 0.5153 0.1654
0 -1.2539 0.5184 0.1654
0 -1.2622 0.5245 0.1654
0 -1.2698 0.5276 0.1654
0 -1.2784 0.5337 0.1654
0 -1.2860 0.5429 0.1654
0 -1.2942 0.5460 0.1654
0 -1.3019 0.5582 0.1654
0 -1.3100 0.5643 0.1654
0 -1.3179 0.5674 0.1654
0 -1.3260 0.5797 0.1685
0 -1.3340 0.5858 0.1685
0 -1.3422 0.5888 0.1716
0 -1.3499 0.6011 0.1746
0 -1.3579 0.6072 0.1746
0 -1.3659 0.6164 0.1777
0 -1.3738 0.6225 0.1808
