# l, t, x, y
0 0.0000 0.0000 0.0000
0 0.0000 0.0190 0.1072
0 -0.1727 0.0129 0.1072
0 -0.1809 0.0037 0.1103
0 -0.1887 0.0006 0.1103
0 -0.1966 -0.0055 0.1134
0 -0.2127 -0.0086 0.1164
0 -0.2207 -0.0116 0.1164
0 -0.2285 -0.0147 0.1195
0 -0.2366 -0.0178 0.1195
0 -0.2446 -0.0208 0.1225
0 -0.2607 -0.0239 0.1256
0 -0.2689 -0.0270 0.1287
0 -0.2766 -0.0300 0.1287
0 -0.2847 -0.0331 0.1317
0 -0.2925 -0.0362 0.1348
0 -0.3008 -0.0392 0.1379
0 -0.3087 -0.0453 0.1440
0 -0.3167 -0.0453 0.1471
0 -0.3246 -0.0515 0.1532
0 -0.3326 -0.0545 0.1562
0 -0.3406 -0.0576 0.1593
0 -0.3486 -0.0607 0.1654
0 -0.3566 -0.0607 0.1685
0 -0.3648 -0.0637 0.1716
0 -0.3726 -0.0668 0.1777
0 -0.3809 -0.0668 0.1808
0 -0.3884 -0.0699 0.1869
0 -0.4047 -0.0699 0.1900
0 -0.4127 -0.0729 0.1961
0 -0.4206 -0.0729 0.1991
0 -0.4366 -0.0760 0.2053
0 -0.4446 -0.0760 0.2083
0 -0.4526 -0.0790 0.2175
0 -0.4607 -0.0821 0.2206
0 -0.4686 -0.0821 0.2267
0 -0.4765 -0.0852 0.2390
0 -0.4846 -0.0882 0.2451
0 -0.4926 -0.0882 0.2512
0 -0.5006 -0.0913 0.2635
0 -0.5086 -0.0913 0.2696
0 -0.5166 -0.0944 0.2849
0 -0.5244 -0.0974 0.2911
0 -0.5330 -0.0974 0.2972
0 -0.5406 -0.1005 0.3125
0 -0.5486 -0.1005 0.3186
0 -0.5566 -0.1036 0.3248
0 -0.5650 -0.1036 0.3401
0 -0.5726 -0.1066 0.3493
0 -0.5809 -0.1066 0.3554
0 -0.5885 -0.1097 0.3707
0 -0.5972 -0.1127 0.3768
0 -0.6046 -0.1127 0.3922
0 -0.6127 -0.1127 0.4013
0 -0.6205 -0.1127 0.4105
0 -0.6287 -0.1158 0.4259
0 -0.6366 -0.1158 0.4381
0 -0.6446 -0.1158 0.4412
0 -0.6527 -0.1158 0.4534
0 -0.6605 -0.1158 0.4565
0 -0.6687 -0.1158 0.4626
0 -0.6767 -0.1158 0.4718
0 -0.6846 -0.1158 0.4749
0 -0.6926 -0.1158 0.4871
0 -0.7007 -0.1127 0.4933
0 -0.7086 -0.1127 0.4994
0 -0.7166 -0.1097 0.5086
0 -0.7246 -0.1097 0.5116
0 -0.7326 -0.1097 0.5147
0 -0.7407 -0.1066 0.5208
0 -0.7488 -0.1066 0.5239
0 -0.7565 -0.1036 0.5331
0 -0.7647 -0.1005 0.5362
0 -0.7726 -0.1005 0.5392
0 -0.7806 -0.0974 0.5453
0 -0.7885 -0.0944 0.5515
0 -0.7967 -0.0944 0.5545
0 -0.8046 -0.0913 0.5607
0 -0.8127 -0.0882 0.5637
0 -0.8207 -0.0821 0.5729
0 -0.8290 -0.0821 0.5760
0 -0.8368 -0.0790 0.5790
0 -0.8445 -0.0729 0.5852
0 -0.8527 -0.0699 0.5913
0 -0.8606 -0.0668 0.5944
0 -0.8686 -0.0607 0.6005
0 -0.8766 -0.0576 0.6066
0 -0.8846 -0.0484 0.6158
0 -0.8926 -0.0453 0.6219
0 -0.9007 -0.0392 0.6250
0 -0.9086 -0.0300 0.6342
0 -0.9167 -0.0239 0.6403
0 -0.9246 -0.0208 0.6434
0 -0.9330 -0.0086 0.6495
0 -0.9406 -0.0055 0.6556
0 -0.9488 0.0067 0.6618
0 -0.9566 0.0098 0.6648
0 -0.9647 0.0159 0.6679
0 -0.9727 0.0251 0.6710
0 -0.9807 0.0282 0.6740
0 -0.9886 0.0343 0.6771
0 -0.9967 0.0466 0.6801
0 -1.0045 0.0527 0.6832
0 -1.0129 0.0588 0.6863
0 -1.0206 0.0711 0.6924
0 -1.0287 0.0803 0.6955
0 -1.0366 0.0895 0.6985
0 -1.0448 0.0956 0.7016
0 -1.0526 0.0987 0.7016
0 -1.0606 0.1048 0.7047
0 -1.0767 0.1078 0.7047
0 -1.0846 0.1170 0.7077
0 -1.0925 0.1201 0.7077
0 -1.1007 0.1262 0.7108
0 -1.1086 0.1415 0.7108
0 -1.1166 0.1507 0.7108
0 -1.1246 0.1691 0.7108
0 -1.1327 0.1814 0.7108
0 -1.1406 0.1906 0.7108
0 -1.1487 0.2059 0.7108
0 -1.1566 0.2120 0.7108
0 -1.1648 0.2273 0.7108
0 -1.1726 0.2335 0.7108
0 -1.1806 0.2426 0.7108
0 -1.1886 0.2580 0.7047
0 -1.1969 0.2702 0.7047
0 -1.2047 0.2825 0.6985
0 -1.2127 0.2947 0.6924
0 -1.2206 0.3070 0.6924
0 -1.2287 0.3162 0.6863
0 -1.2366 0.3223 0.6832
0 -1.2445 0.3284 0.6801
0 -1.2525 0.3407 0.6740
0 -1.2605 0.3468 0.6710
0 -1.2687 0.3560 0.6648
0 -1.2765 0.3683 0.6556
0 -1.2846 0.3744 0.6526
0 -1.2925 0.3805 0.6495
0 -1.3006 0.3897 0.6403
0 -1.3085 0.3928 0.6403
0 -1.3166 0.3989 0.6342
0 -1.3245 0.3989 0.6311
0 -1.3327 0.4020 0.6281
0 -1.3406 0.4081 0.6219
0 -1.3486 0.4112 0.6158
0 -1.3566 0.4142 0.6127
0 -1.3647 0.4203 0.6005
0 -1.3726 0.4234 0.5974
0 -1.3807 0.4265 0.5913
0 -1.3886 0.4295 0.5821
0 -1.3967 0.4326 0.5790
0 -1.4046 0.4357 0.5699
0 -1.4126 0.4387 0.5668
0 -1.4280 0.4418 0.5607
0 -1.4311 0.4479 0.5484
0 -1.4365 0.4479 0.5423
0 -1.4447 0.4510 0.5392
0 -1.4527 0.4571 0.5270
0 -1.4605 0.4571 0.5239
0 -1.4687 0.4602 0.5147
0 -1.4765 0.4632 0.5086
0 -1.4846 0.4632 0.5025
0 -1.4925 0.4663 0.4933
0 -1.5006 0.4663 0.4902
0 -1.5085 0.4663 0.4871
0 -1.5167 0.4694 0.4810
0 -1.5245 0.4694 0.4779
0 -1.5328 0.4694 0.4718
0 -1.5405 0.4694 0.4687
0 -1.5567 0.4694 0.4657
0 -1.5649 0.4694 0.4596
0 -1.5726 0.4694 0.4565
0 -1.5807 0.4694 0.4504
0 -1.5885 0.4694 0.4473
0 -1.5967 0.4694 0.4412
0 -1.6047 0.4694 0.4381
0 -1.6129 0.4694 0.4350
0 -1.6206 0.4694 0.4259
0 -1.6289 0.4694 0.4228
0 -1.6368 0.4663 0.4167
0 -1.6446 0.4663 0.4075
0 -1.6526 0.4663 0.4013
0 -1.6604 0.4663 0.3952
0 -1.6687 0.4632 0.3799
0 -1.6765 0.4632 0.3738
0 -1.6846 0.4632 0.3646
0 -1.6925 0.4632 0.3585
0 -1.7007 0.4632 0.3554
0 -1.7085 0.4632 0.3493
0 -1.7166 0.4632 0.3462
0 -1.7245 0.4632 0.3401
0 -1.7329 0.4632 0.3339
0 -1.7407 0.4632 0.3309
0 -1.7487 0.4632 0.3248
0 -1.7564 0.4632 0.3156
0 -1.7646 0.4632 0.3125
0 -1.7724 0.4632 0.3064
0 -1.7806 0.4632 0.3033
0 -1.7885 0.4632 0.2972
0 -1.7966 0.4632 0.2911
0 -1.8046 0.4632 0.2880
0 -1.8126 0.4632 0.2849
0 -1.8206 0.4632 0.2788
0 -1.8291 0.4632 0.2757
0 -1.8368 0.4632 0.2696
0 -1.8445 0.4632 0.2635
0 -1.8526 0.4632 0.2604
0 -1.8605 0.4632 0.2543
0 -1.8686 0.4632 0.2482
0 -1.8765 0.4663 0.2451
0 -1.8846 0.4663 0.2390
0 -1.8926 0.4663 0.2359
0 -1.9007 0.4694 0.2298
0 -1.9085 0.4724 0.2237
0 -1.9167 0.4724 0.2206
0 -1.9245 0.4786 0.2145
0 -1.9326 0.4816 0.2083
0 -1.9404 0.4847 0.2053
0 -1.9486 0.4877 0.1991
0 -1.9565 0.4908 0.1961
0 -1.9647 0.4939 0.1900
0 -1.9726 0.4969 0.1900
0 -1.9808 0.5000 0.1869
0 -1.9886 0.5031 0.1838
0 -1.9965 0.5031 0.1808
0 -2.0046 0.5061 0.1808
0 -2.0125 0.5123 0.1777
0 -2.0207 0.5153 0.1777
0 -2.0287 0.5184 0.1746
0 -2.0368 0.5245 0.1685
0 -2.0450 0.5276 0.1685
0 -2.0525 0.5368 0.1624
0 -2.0606 0.5429 0.1593
0 -2.0686 0.5490 0.1593
0 -2.0765 0.5643 0.1532
0 -2.0845 0.5705 0.1501
0 -2.0926 0.5766 0.1501
0 -2.1006 0.5858 0.1471
0 -2.1085 0.5888 0.1471
0 -2.1167 0.5980 0.1440
0 -2.1246 0.6011 0.1440
0 -2.1330 0.6072 0.1409
0 -2.1405 0.6134 0.1409
0 -2.1487 0.6164 0.1409
0 -2.1566 0.6225 0.1409
0 -2.1650 0.6317 0.1379
0 -2.1726 0.6379 0.1379
0 -2.1809 0.6501 0.1379
0 -2.1886 0.6562 0.1348
0 -2.1968 0.6624 0.1348
0 -2.2046 0.6746 0.1348
0 -2.2126 0.6808 0.1348
0 -2.2207 0.6869 0.1348
0 -2.2289 0.6991 0.1317
0 -2.2365 0.7083 0.1317
0 -2.2449 0.7237 0.1317
0 -2.2525 0.7328 0.1317
0 -2.2605 0.7420 0.1317
0 -2.2687 0.7604 0.1287
0 -2.2767 0.7727 0.1287
0 -2.2846 0.7880 0.1287
0 -2.2925 0.8064 0.1287
0 -2.3005 0.8094 0.1287
0 -2.3084 0.8125 0.1287
0 -2.3165 0.8217 0.1287
0 -2.3246 0.8248 0.1287
0 -2.3328 0.8309 0.1287
0 -2.3406 0.8370 0.1287
0 -2.3486 0.8401 0.1317
0 -2.3565 0.8493 0.1317
0 -2.3648 0.8523 0.1348
0 -2.3727 0.8585 0.1348
0 -2.3807 0.8646 0.1379
0 -2.3886 0.8676 0.1379
0 -2.3967 0.8707 0.1379
0 -2.4047 0.8768 0.1409
0 -2.4127 0.8799 0.1440
0 -2.4208 0.8891 0.1471
0 -2.4287 0.8952 0.1471
0 -2.4366 0.8983 0.1501
0 -2.4445 0.9105 0.1532
0 -2.4526 0.9167 0.1562
0 -2.4607 0.9228 0.1593
0 -2.4686 0.9381 0.1654
0 -2.4767 0.9442 0.1685
0 -2.4846 0.9565 0.1716
0 -2.4926 0.9596 0.1746
0 -2.5007 0.9657 0.1777
0 -2.5086 0.9749 0.1808
0 -2.5166 0.9779 0.1838
0 -2.5246 0.9841 0.1869
0 -2.5328 0.9933 0.1930
0 -2.5405 0.9963 0.1930
0 -2.5487 1.0025 0.1991
0 -2.5566 1.0055 0.2022
0 -2.5649 1.0086 0.2022
0 -2.5725 1.0147 0.2083
0 -2.5809 1.0178 0.2083
0 -2.5885 1.0178 0.2114
0 -2.5967 1.0239 0.2175
0 -2.6046 1.0270 0.2175
0 -2.6126 1.0362 0.2237
0 -2.6207 1.0392 0.2267
0 -2.6287 1.0423 0.2298
0 -2.6366 1.0484 0.2359
0 -2.6446 1.0515 0.2420
0 -2.6526 1.0545 0.2451
0 -2.6610 1.0607 0.2512
0 -2.6686 1.0637 0.2543
0 -2.6765 1.0668 0.2604
0 -2.6846 1.0699 0.2635
0 -2.6926 1.0729 0.2665
0 -2.7006 1.0790 0.2757
0 -2.7087 1.0790 0.2788
0 -2.7166 1.0821 0.2819
0 -2.7248 1.0882 0.2911
0 -2.7327 1.0913 0.2941
0 -2.7406 1.0944 0.2972
0 -2.7486 1.1005 0.3064
0 -2.7565 1.1005 0.3094
0 -2.7649 1.1066 0.3186
0 -2.7726 1.1097 0.3217
0 -2.7808 1.1127 0.3278
0 -2.7885 1.1158 0.3370
0 -2.7969 1.1189 0.3431
0 -2.8046 1.1189 0.3493
0 -2.8130 1.1219 0.3615
0 -2.8207 1.1219 0.3646
0 -2.8291 1.1250 0.3707
0 -2.8366 1.1250 0.3768
0 -2.8448 1.1250 0.3799
0 -2.8527 1.1281 0.3860
0 -2.8609 1.1281 0.3891
0 -2.8687 1.1281 0.3922
0 -2.8767 1.1311 0.4013
0 -2.8846 1.1311 0.4044
0 -2.8925 1.1311 0.4105
0 -2.9009 1.1342 0.4197
0 -2.9086 1.1342 0.4259
0 -2.9166 1.1342 0.4350
0 -2.9248 1.1342 0.4412
0 -2.9326 1.1342 0.4442
0 -2.9406 1.1342 0.4534
0 -2.9487 1.1342 0.4596
0 -2.9565 1.1342 0.4687
0 -2.9647 1.1342 0.4749
0 -2.9725 1.1342 0.4810
0 -2.9808 1.1342 0.4933
0 -2.9885 1.1342 0.4994
0 -2.9966 1.1342 0.5025
0 -3.0048 1.1342 0.5086
0 -3.0126 1.1342 0.5147
0 -3.0206 1.1342 0.5178
0 -3.0287 1.1342 0.5239
0 -3.0366 1.1342 0.5270
0 -3.0445 1.1342 0.5362
0 -3.0525 1.1342 0.5423
0 -3.0606 1.1342 0.5453
0 -3.0686 1.1311 0.5576
0 -3.0766 1.1311 0.5637
0 -3.0846 1.1311 0.5699
0 -3.0925 1.1281 0.5821
0 -3.1006 1.1281 0.5882
0 -3.1085 1.1250 0.6005
0 -3.1166 1.1250 0.6097
0 -3.1247 1.1219 0.6158
0 -3.1327 1.1189 0.6311
0 -3.1405 1.1189 0.6373
0 -3.1486 1.1158 0.6464
0 -3.1566 1.1158 0.6618
0 -3.1647 1.1127 0.6710
0 -3.1726 1.1127 0.6771
0 -3.1807 1.1097 0.6924
0 -3.1887 1.1097 0.7016
0 -3.1967 1.1036 0.7108
0 -3.2048 1.1036 0.7169
0 -3.2126 1.1036 0.7200
0 -3.2206 1.1005 0.7261
0 -3.2287 1.1005 0.7292
0 -3.2366 1.1005 0.7322
0 -3.2446 1.0974 0.7353
0 -3.2526 1.0974 0.7384
0 -3.2688 1.0944 0.7445
0 -3.2766 1.0944 0.7475
0 -3.2847 1.0913 0.7506
0 -3.2925 1.0882 0.7537
0 -3.3007 1.0852 0.7567
0 -3.3086 1.0790 0.7659
0 -3.3166 1.0760 0.7690
0 -3.3246 1.0699 0.7751
0 -3.3328 1.0668 0.7782
0 -3.3406 1.0637 0.7843
0 -3.3488 1.0545 0.7904
0 -3.3566 1.0515 0.7935
0 -3.3647 1.0453 0.7966
0 -3.3725 1.0331 0.8027
0 -3.3806 1.0270 0.8058
0 -3.3885 1.0147 0.8150
0 -3.3968 1.0116 0.8150
0 -3.4046 1.0055 0.8180
0 -3.4126 0.9933 0.8241
0 -3.4206 0.9902 0.8241
0 -3.4291 0.9841 0.8272
0 -3.4367 0.9749 0.8303
0 -3.4449 0.9718 0.8303
0 -3.4527 0.9626 0.8333
0 -3.4606 0.9596 0.8333
0 -3.4768 0.9565 0.8333
0 -3.4847 0.9534 0.8333
0 -3.4926 0.9504 0.8333
0 -3.5008 0.9442 0.8364
0 -3.5088 0.9412 0.8364
0 -3.5167 0.9381 0.8364
0 -3.5246 0.9289 0.8364
0 -3.5327 0.9259 0.8364
0 -3.5406 0.9167 0.8364
0 -3.5487 0.9105 0.8364
0 -3.5566 0.9075 0.8364
0 -3.5647 0.8952 0.8364
0 -3.5726 0.8891 0.8364
0 -3.5807 0.8799 0.8364
0 -3.5886 0.8676 0.8364
0 -3.5967 0.8615 0.8364
0 -3.6046 0.8554 0.8364
0 -3.6126 0.8462 0.8364
0 -3.6206 0.8431 0.8364
0 -3.6286 0.8339 0.8364
0 -3.6367 0.8309 0.8364
0 -3.6445 0.8278 0.8364
0 -3.6526 0.8217 0.8364
0 -3.6606 0.8186 0.8364
0 -3.6687 0.8156 0.8364
0 -3.6765 0.8064 0.8364
0 -3.6846 0.8033 0.8364
0 -3.6925 0.7972 0.8364
0 -3.7007 0.7911 0.8364
0 -3.7085 0.7880 0.8364
0 -3.7166 0.7819 0.8364
0 -3.7246 0.7757 0.8364
0 -3.7327 0.7696 0.8364
0 -3.7406 0.7574 0.8364
0 -3.7485 0.7512 0.8364
0 -3.7564 0.7390 0.8364
0 -3.7646 0.7328 0.8364
0 -3.7726 0.7298 0.8364
0 -3.7806 0.7206 0.8364
0 -3.7885 0.7175 0.8364
0 -3.7969 0.7145 0.8364
0 -3.8046 0.7053 0.8364
0 -3.8127 0.6991 0.8364
0 -3.8206 0.6900 0.8364
0 -3.8289 0.6838 0.8364
0 -3.8366 0.6777 0.8364
0 -3.8445 0.6685 0.8364
0 -3.8525 0.6624 0.8364
0 -3.8606 0.6562 0.8364
0 -3.8685 0.6471 0.8364
0 -3.8764 0.6409 0.8364
0 -3.8845 0.6379 0.8364
0 -3.8925 0.6348 0.8364
0 -3.9006 0.6317 0.8364
0 -3.9087 0.6287 0.8364
0 -3.9165 0.6256 0.8364
0 -3.9245 0.6225 0.8364
0 -3.9327 0.6164 0.8364
0 -3.9405 0.6103 0.8364
0 -3.9486 0.6072 0.8364
0 -3.9565 0.6042 0.8364
0 -3.9646 0.6011 0.8364
